16422   2019/05/27 15:13:29 1 0 0 1
17371   2019/05/27 14:29:49 1 0 0 1
17406   2019/05/27 14:29:31 1 0 0 1
16232   2019/05/27 14:27:37 1 0 0 1
16422   2019/05/27 12:31:20 1 0 0 1
16422   2019/05/27 08:07:38 1 0 0 1
17569   2019/05/27 08:01:19 1 0 0 1
17298   2019/05/27 07:58:08 1 0 0 1
16232   2019/05/26 22:47:51 1 0 0 1
17569   2019/05/26 22:44:07 1 0 0 1
17298   2019/05/26 16:06:51 1 0 0 1
17406   2019/05/26 16:04:02 1 0 0 1
17569   2019/05/26 14:31:31 1 0 0 1
17371   2019/05/26 14:18:39 1 0 0 1
16232   2019/05/26 14:14:11 1 0 0 1
16422   2019/05/26 07:41:57 1 0 0 1
17406   2019/05/26 07:39:12 1 0 0 1
17298   2019/05/26 07:38:58 1 0 0 1
17371   2019/05/26 00:00:39 1 0 0 1
17406   2019/05/26 00:00:27 1 0 0 1
17298   2019/05/25 23:56:31 1 0 0 1
17569   2019/05/25 16:15:45 1 0 0 1
16422   2019/05/25 16:07:57 1 0 0 1
17371   2019/05/25 14:58:32 1 0 0 1
17298   2019/05/25 14:44:39 1 0 0 1
